model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetFastAI_r194_BAG_L2,0.5970588235294118,roc_auc,0.6054139137268066,10.620782613754272,0.0675499439239502,3.018441915512085,2,True,165
LightGBM_BAG_L1,0.5963235294117647,roc_auc,0.019800662994384766,0.6046619415283203,0.019800662994384766,0.6046619415283203,1,True,2
CatBoost_r86_BAG_L1,0.5963235294117647,roc_auc,0.026376724243164062,2.2274410724639893,0.026376724243164062,2.2274410724639893,1,True,42
LightGBM_r143_BAG_L1,0.5948529411764706,roc_auc,0.047959089279174805,0.5575625896453857,0.047959089279174805,0.5575625896453857,1,True,46
LightGBMXT_BAG_L1,0.5948529411764706,roc_auc,0.1006171703338623,0.27341485023498535,0.1006171703338623,0.27341485023498535,1,True,1
RandomForest_r15_BAG_L2,0.5948529411764706,roc_auc,0.5899460315704346,8.416526079177856,0.052082061767578125,0.814185380935669,2,True,153
NeuralNetFastAI_r145_BAG_L2,0.5941176470588235,roc_auc,0.642890453338623,10.976830005645752,0.1050264835357666,3.3744893074035645,2,True,111
XGBoost_r49_BAG_L2,0.5926470588235294,roc_auc,0.6086587905883789,8.246565580368042,0.07079482078552246,0.6442248821258545,2,True,145
ExtraTrees_r42_BAG_L2,0.5919117647058824,roc_auc,0.5822727680206299,7.973013162612915,0.04440879821777344,0.37067246437072754,2,True,105
XGBoost_r89_BAG_L2,0.5919117647058824,roc_auc,0.5966691970825195,8.178852081298828,0.058805227279663086,0.5765113830566406,2,True,112
LightGBM_r30_BAG_L2,0.5904411764705882,roc_auc,0.5687754154205322,8.351059198379517,0.03091144561767578,0.7487185001373291,2,True,144
NeuralNetFastAI_r187_BAG_L2,0.5904411764705882,roc_auc,0.6353626251220703,12.022611379623413,0.09749865531921387,4.420270681381226,2,True,172
RandomForest_r39_BAG_L2,0.588970588235294,roc_auc,0.5815229415893555,8.330614566802979,0.04365897178649902,0.728273868560791,2,True,125
LightGBM_r188_BAG_L1,0.5882352941176472,roc_auc,0.02477550506591797,0.5782842636108398,0.02477550506591797,0.5782842636108398,1,True,22
ExtraTrees_r172_BAG_L2,0.5875,roc_auc,0.5902390480041504,8.173783540725708,0.052375078201293945,0.5714428424835205,2,True,117
NeuralNetFastAI_r191_BAG_L2,0.5875,roc_auc,0.6150798797607422,11.076517820358276,0.07721590995788574,3.474177122116089,2,True,101
NeuralNetFastAI_r37_BAG_L2,0.5875,roc_auc,0.6761367321014404,12.428823947906494,0.13827276229858398,4.826483249664307,2,True,131
LightGBM_r30_BAG_L1,0.5860294117647059,roc_auc,0.07067537307739258,0.6288509368896484,0.07067537307739258,0.6288509368896484,1,True,56
CatBoost_BAG_L2,0.5852941176470587,roc_auc,0.5533130168914795,9.255598545074463,0.015449047088623047,1.6532578468322754,2,True,93
ExtraTrees_r197_BAG_L2,0.5830882352941177,roc_auc,0.5905647277832031,8.505556583404541,0.05270075798034668,0.9032158851623535,2,True,162
NeuralNetFastAI_r138_BAG_L2,0.5801470588235295,roc_auc,0.6312594413757324,11.389556407928467,0.09339547157287598,3.7872157096862793,2,True,158
LightGBM_r121_BAG_L2,0.5764705882352941,roc_auc,0.5810067653656006,8.347637176513672,0.04314279556274414,0.7452964782714844,2,True,159
LightGBM_r94_BAG_L1,0.5742647058823529,roc_auc,0.02363896369934082,0.5959818363189697,0.02363896369934082,0.5959818363189697,1,True,50
NeuralNetFastAI_r102_BAG_L2,0.5727941176470589,roc_auc,0.6369242668151855,11.424663543701172,0.0990602970123291,3.8223228454589844,2,True,107
LightGBM_r161_BAG_L2,0.5683823529411764,roc_auc,0.5662577152252197,8.405608177185059,0.02839374542236328,0.8032674789428711,2,True,120
LightGBM_r96_BAG_L2,0.5676470588235294,roc_auc,0.5624277591705322,8.317287921905518,0.02456378936767578,0.7149472236633301,2,True,103
XGBoost_r98_BAG_L2,0.5669117647058824,roc_auc,0.6469738483428955,8.842212915420532,0.10910987854003906,1.2398722171783447,2,True,128
LightGBM_r131_BAG_L2,0.5669117647058823,roc_auc,0.5597178936004639,8.300184965133667,0.021853923797607422,0.6978442668914795,2,True,100
XGBoost_r22_BAG_L2,0.5639705882352941,roc_auc,0.6023142337799072,8.193994045257568,0.06445026397705078,0.5916533470153809,2,True,155
LightGBM_r196_BAG_L2,0.5617647058823529,roc_auc,0.6695590019226074,8.964882850646973,0.13169503211975098,1.3625421524047852,2,True,124
LightGBM_BAG_L2,0.5610294117647059,roc_auc,0.5510621070861816,8.214599609375,0.013198137283325195,0.6122589111328125,2,True,90
LightGBM_r143_BAG_L2,0.5595588235294118,roc_auc,0.5560107231140137,8.217175960540771,0.018146753311157227,0.614835262298584,2,True,134
NeuralNetFastAI_r127_BAG_L2,0.5595588235294118,roc_auc,0.6470744609832764,11.530155181884766,0.10921049118041992,3.927814483642578,2,True,163
LightGBM_r94_BAG_L2,0.5588235294117647,roc_auc,0.5675563812255859,8.294398546218872,0.029692411422729492,0.6920578479766846,2,True,138
NeuralNetFastAI_r111_BAG_L2,0.5551470588235294,roc_auc,0.6802949905395508,11.500446081161499,0.14243102073669434,3.8981053829193115,2,True,140
LightGBMXT_BAG_L2,0.5544117647058823,roc_auc,0.5567154884338379,8.200241088867188,0.018851518630981445,0.597900390625,2,True,89
LightGBM_r135_BAG_L2,0.5470588235294117,roc_auc,0.5662088394165039,8.079108715057373,0.02834486961364746,0.47676801681518555,2,True,154
LightGBM_r130_BAG_L2,0.5352941176470588,roc_auc,0.5498249530792236,8.204699993133545,0.011960983276367188,0.6023592948913574,2,True,113
LightGBM_r135_BAG_L1,0.5330882352941176,roc_auc,0.01168680191040039,0.5733821392059326,0.01168680191040039,0.5733821392059326,1,True,66
LightGBM_r188_BAG_L2,0.5330882352941176,roc_auc,0.560004472732544,8.275166511535645,0.0221405029296875,0.672825813293457,2,True,110
RandomForest_r34_BAG_L1,0.5286764705882353,roc_auc,0.03030538558959961,0.6540954113006592,0.03030538558959961,0.6540954113006592,1,True,49
LightGBM_r130_BAG_L1,0.5205882352941176,roc_auc,0.012103796005249023,0.5383527278900146,0.012103796005249023,0.5383527278900146,1,True,25
LightGBM_r96_BAG_L1,0.4970588235294118,roc_auc,0.0632777214050293,0.9520201683044434,0.0632777214050293,0.9520201683044434,1,True,15
